item,itemLabel,Main_genre,,,,Main genres
http://www.wikidata.org/entity/Q25407483,Anthem house,Electronic,,,,
http://www.wikidata.org/entity/Q574651,anti-folk,Folk,,,,
http://www.wikidata.org/entity/Q624044,Arabic music,Others,,,,
http://www.wikidata.org/entity/Q624081,Arabic pop music,Pop,,,,
http://www.wikidata.org/entity/Q22948243,Arabic Rock,Rock,,,,
http://www.wikidata.org/entity/Q59387411,Archontorebetiko,Others,,,,
http://www.wikidata.org/entity/Q4789437,Argentine cumbia,Latin,,,,
http://www.wikidata.org/entity/Q25116,Argentine tango,Latin,,,,
http://www.wikidata.org/entity/Q354204,Argentinian folk music,Folk,,,,
http://www.wikidata.org/entity/Q20987668,Armenian folk music,Folk,,,,
http://www.wikidata.org/entity/Q1583807,art music,Classical,,,,
http://www.wikidata.org/entity/Q25094849,art pop,Pop,,,,
http://www.wikidata.org/entity/Q659599,art punk,Punk,,,,
http://www.wikidata.org/entity/Q217467,art rock,Rock,,,,
http://www.wikidata.org/entity/Q2615500,Artcore,Punk,,,,
http://www.wikidata.org/entity/Q783243,Australian hip hop,Hip Hop,,,,
http://www.wikidata.org/entity/Q700423,Austropop,Pop,,,,
http://www.wikidata.org/entity/Q790188,avant-garde jazz,Others,,,,
http://www.wikidata.org/entity/Q641357,avant-garde metal,Others,,,,
http://www.wikidata.org/entity/Q2332751,avant-garde music,Others,,,,
http://www.wikidata.org/entity/Q3630966,avant-prog,Rock,,,,
http://www.wikidata.org/entity/Q8210150,Avanzada Regia,Rock,,,,
http://www.wikidata.org/entity/Q1435485,AxÃ© music,Others,,,,
http://www.wikidata.org/entity/Q4832826,Azonto,Others,,,,
http://www.wikidata.org/entity/Q40461,bachata,Latin,,,,
http://www.wikidata.org/entity/Q4841596,Baggy,Rock,,,,
http://www.wikidata.org/entity/Q5569994,BaiÃ£o,Others,,,,
http://www.wikidata.org/entity/Q4848674,Baisha xiyue,Others,,,,
http://www.wikidata.org/entity/Q4848738,Baithak Gana,Others,,,,
http://www.wikidata.org/entity/Q804401,Bakersfield sound,Country,,,,
http://www.wikidata.org/entity/Q2866725,Balearic beat,Electronic,,,,
http://www.wikidata.org/entity/Q16837290,Balearic trance,Electronic,,,,
http://www.wikidata.org/entity/Q805044,Balkan Brass,Folk,,,,
http://www.wikidata.org/entity/Q4851096,Balkan jazz,Jazz,,,,
http://www.wikidata.org/entity/Q805130,ballade,Classical,,,,
http://www.wikidata.org/entity/Q2881236,ballet d'action,Classical,,,,
http://www.wikidata.org/entity/Q4852979,Baltimore club,Hip Hop,,,,
http://www.wikidata.org/entity/Q728579,balwo,Others,,,,
http://www.wikidata.org/entity/Q2812726,Banda,Classical,,,,
http://www.wikidata.org/entity/Q16246074,Banda SinfÃ³nica,Classical,,,,
http://www.wikidata.org/entity/Q4854353,Bandana thrash,Punk,,,,
http://www.wikidata.org/entity/Q4854619,Bandish,Classical,,,,
http://www.wikidata.org/entity/Q4857249,Bantowbol,Folk,,,,
http://www.wikidata.org/entity/Q4056436,Bard,Classical,,,,
http://www.wikidata.org/entity/Q4078107,bard-rock,Rock,,,,
http://www.wikidata.org/entity/Q8361,baroque music,Classical,,,,
http://www.wikidata.org/entity/Q4863051,Baroque music of the British Isles,Classical,,,,
http://www.wikidata.org/entity/Q46046,baroque pop,Pop,,,,
http://www.wikidata.org/entity/Q3328599,basque music,Folk,,,,
http://www.wikidata.org/entity/Q3121396,Basque Radical Rock,Rock,,,,
http://www.wikidata.org/entity/Q27345019,Bass House,Electronic,,,,
http://www.wikidata.org/entity/Q2346991,bass music,Electronic,,,,
http://www.wikidata.org/entity/Q4846346,bassline,Electronic,,,,
http://www.wikidata.org/entity/Q4873394,BatÃ¡-rumba,Latin,,,,
http://www.wikidata.org/entity/Q12302979,battle rap,Hip Hop,,,,
http://www.wikidata.org/entity/Q2891921,Batuque,Others,,,,
http://www.wikidata.org/entity/Q2537356,Bay Area thrash metal,Heavy Metal,,,,
http://www.wikidata.org/entity/Q4875789,Beach music,Rock,,,,
http://www.wikidata.org/entity/Q546264,beat music,Rock,,,,
http://www.wikidata.org/entity/Q105513,bebop,Jazz,,,,
http://www.wikidata.org/entity/Q47269036,beguine,Others,,,,
http://www.wikidata.org/entity/Q590662,Bend-skin,Pop,,,,
http://www.wikidata.org/entity/Q6301761,Benga music,Others,,,,
http://www.wikidata.org/entity/Q202919,berceuse,Classical,,,,
http://www.wikidata.org/entity/Q4891362,Bereznianka,Folk,,,,
http://www.wikidata.org/entity/Q631621,bertsolaritza,Folk,,,,
http://www.wikidata.org/entity/Q4897056,Beste,Classical,,,,
http://www.wikidata.org/entity/Q854844,Bhangra,Folk,,,,
http://www.wikidata.org/entity/Q3346909,Bhatiali,Folk,,,,
http://www.wikidata.org/entity/Q4901492,Bhavageete,Others,,,,
http://www.wikidata.org/entity/Q858579,big beat,Electronic,,,,
http://www.wikidata.org/entity/Q4905606,Big Drum,Others,,,,
http://www.wikidata.org/entity/Q15300817,big room house,Electronic,,,,
http://www.wikidata.org/entity/Q33246019,Big-beat,Electronic,,,,
http://www.wikidata.org/entity/Q60462608,Biker metal,Heavy Metal,,,,
http://www.wikidata.org/entity/Q860196,Bikutsi,Others,,,,
http://www.wikidata.org/entity/Q864605,biomusic,Others,,,,
http://www.wikidata.org/entity/Q773880,bitpop,Pop,,,,
http://www.wikidata.org/entity/Q18533602,black contemporary,Others,,,,
http://www.wikidata.org/entity/Q1868278,black doom,Heavy Metal,,,,
http://www.wikidata.org/entity/Q132438,black metal,Heavy Metal,,,,
http://www.wikidata.org/entity/Q57470546,Black music,Others,,,,
http://www.wikidata.org/entity/Q5729641,Blackcore,Others,,,,
http://www.wikidata.org/entity/Q2599472,blackened death metal,Heavy Metal,,,,
http://www.wikidata.org/entity/Q16855754,blackgaze,Heavy Metal,,,,
http://www.wikidata.org/entity/Q4088026,Blatnaya Pesnya,Others,,,,
http://www.wikidata.org/entity/Q15025114,Blue Beat,R&B,,,,
http://www.wikidata.org/entity/Q885943,Blue Yodeling,Folk,,,,
http://www.wikidata.org/entity/Q885561,blue-eyed soul,R&B,,,,
http://www.wikidata.org/entity/Q21327441,bluegrass gospel,Others,,,,
http://www.wikidata.org/entity/Q213714,bluegrass music,Country,,,,
http://www.wikidata.org/entity/Q9759,blues,Blues,,,,
http://www.wikidata.org/entity/Q3641200,blues metal,Heavy Metal,,,,
http://www.wikidata.org/entity/Q193355,blues rock,Blues,,,,
http://www.wikidata.org/entity/Q18205595,BMG movement,Folk,,,,
http://www.wikidata.org/entity/Q4936212,Bocet,Folk,,,,
http://www.wikidata.org/entity/Q4937089,Boedra,Folk,,,,
http://www.wikidata.org/entity/Q3310676,Boeremusiek,Folk,,,,
http://www.wikidata.org/entity/Q18702741,Bogino duu,Others,,,,
http://www.wikidata.org/entity/Q16844015,Boi,Folk,,,,
http://www.wikidata.org/entity/Q4939163,Bolel,Others,,,,
http://www.wikidata.org/entity/Q15830404,bolero,Latin,,,,
http://www.wikidata.org/entity/Q6397421,Bolero son,Latin,,,,
http://www.wikidata.org/entity/Q4940448,Bomba,Latin,,,,
http://www.wikidata.org/entity/Q892958,Boogaloo,Latin,,,,
http://www.wikidata.org/entity/Q4942839,Boogie,R&B,,,,
http://www.wikidata.org/entity/Q2266376,boogie rock,Rock,,,,
http://www.wikidata.org/entity/Q212952,boogie-woogie,Blues,,,,
http://www.wikidata.org/entity/Q10363610,Bosnian rock,Rock,,,,
http://www.wikidata.org/entity/Q486263,bossa nova,Latin,,,,
http://www.wikidata.org/entity/Q16845069,Bothy band,Folk,,,,
http://www.wikidata.org/entity/Q4949812,bounce music,Hip Hop,,,,
http://www.wikidata.org/entity/Q3066180,Bouncy techno,Electronic,,,,
http://www.wikidata.org/entity/Q4950495,Bouyon soca,Others,,,,
http://www.wikidata.org/entity/Q23022165,Boxes Summer 2016 tour,Rock,,,,
http://www.wikidata.org/entity/Q2537800,Bozlak,Others,,,,
http://www.wikidata.org/entity/Q4958465,Bravura,Classical,,,,
http://www.wikidata.org/entity/Q663519,breakbeat,Electronic,,,,
http://www.wikidata.org/entity/Q1585075,breakbeat hardcore,Electronic,,,,
http://www.wikidata.org/entity/Q903735,breakcore,Electronic,,,,
http://www.wikidata.org/entity/Q1987980,Breakstep,Electronic,,,,
http://www.wikidata.org/entity/Q39086064,Breakup song,Others,,,,
http://www.wikidata.org/entity/Q2464314,Brega,Latin,,,,
http://www.wikidata.org/entity/Q47005557,Breton rock,Rock,,,,
http://www.wikidata.org/entity/Q4965901,Brick City club,Electronic,,,,
http://www.wikidata.org/entity/Q918542,British blues,Blues,,,,
http://www.wikidata.org/entity/Q469343,British hip hop,Hip Hop,,,,
http://www.wikidata.org/entity/Q2566660,British rock,Rock,,,,
http://www.wikidata.org/entity/Q189045,Britpop,Pop,,,,
http://www.wikidata.org/entity/Q4972949,Broder singer,Others,,,,
http://www.wikidata.org/entity/Q2406633,Broken beat,Electronic,,,,
http://www.wikidata.org/entity/Q20903,brostep,Electronic,,,,
http://www.wikidata.org/entity/Q4975996,Brown-eyed soul,R&B,,,,
http://www.wikidata.org/entity/Q968165,Brukdown,Others,,,,
http://www.wikidata.org/entity/Q2265866,brutal death metal,Heavy Metal,,,,
http://www.wikidata.org/entity/Q2076779,Bubblegum dance,Pop,,,,
http://www.wikidata.org/entity/Q997481,bubblegum pop,Pop,,,,
http://www.wikidata.org/entity/Q12274303,Bulgarian folk songs,Folk,,,,
http://www.wikidata.org/entity/Q1016608,burlesque,Classical,,,,
http://www.wikidata.org/entity/Q5001430,bush ballad,Folk,,,,
http://www.wikidata.org/entity/Q2090950,Byzantine music,Classical,,,,
http://www.wikidata.org/entity/Q1192110,C-pop,Pop,,,,
http://www.wikidata.org/entity/Q5015165,Ca din tulnic,Others,,,,
http://www.wikidata.org/entity/Q5759478,CaÃ±a,Others,,,,
http://www.wikidata.org/entity/Q10363580,cabaret rock,Rock,,,,
http://www.wikidata.org/entity/Q2932658,Cadence-lypso,Others,,,,
http://www.wikidata.org/entity/Q1026089,Cajun music,Country,,,,
http://www.wikidata.org/entity/Q752785,calypso music,Others,,,,
http://www.wikidata.org/entity/Q922853,campaign song,Others,,,,
http://www.wikidata.org/entity/Q1437709,CanciÃ³n,Others,,,,
http://www.wikidata.org/entity/Q5747258,CanciÃ³n melÃ³dica,Others,,,,
http://www.wikidata.org/entity/Q19754215,Cante Alentejano,Latin,,,,
http://www.wikidata.org/entity/Q48359853,cante chico,Latin,,,,
http://www.wikidata.org/entity/Q2338544,Cante jondo,Latin,,,,
http://www.wikidata.org/entity/Q5033725,Cantes a palo seco,Latin,,,,
http://www.wikidata.org/entity/Q853873,Cantopop,Pop,,,,
http://www.wikidata.org/entity/Q1195630,canzone Napoletana,,,,,
http://www.wikidata.org/entity/Q956883,Carnatic music,,,,,
http://www.wikidata.org/entity/Q5753407,Carranga (music genre),,,,,
http://www.wikidata.org/entity/Q5047036,Cartageneras,,,,,
http://www.wikidata.org/entity/Q1735204,cassation,,,,,
http://www.wikidata.org/entity/Q2707994,Catalan rumba,,,,,
http://www.wikidata.org/entity/Q5054785,Cavalier song,,,,,
http://www.wikidata.org/entity/Q1054490,CeÃ²l Beag,,,,,
http://www.wikidata.org/entity/Q3644819,cello rock,,,,,
http://www.wikidata.org/entity/Q1092553,Celtic fusion,,,,,
http://www.wikidata.org/entity/Q2525544,Celtic metal,,,,,
http://www.wikidata.org/entity/Q854451,Celtic music,,,,,
http://www.wikidata.org/entity/Q1990122,Celtic punk,,,,,
http://www.wikidata.org/entity/Q2662148,Celtic rock,,,,,
http://www.wikidata.org/entity/Q5063233,Ceol Meadhonach,,,,,
http://www.wikidata.org/entity/Q208370,Cha-cha-cha,,,,,
http://www.wikidata.org/entity/Q16986699,cha-cha-cha,,,,,
http://www.wikidata.org/entity/Q16115207,Cha-wave,,,,,
http://www.wikidata.org/entity/Q5119040,Cháº§u vÄƒn,,,,,
http://www.wikidata.org/entity/Q2961763,chaabi,,,,,
http://www.wikidata.org/entity/Q5068130,Chaiti,,,,,
http://www.wikidata.org/entity/Q870340,Chalga,,,,,
http://www.wikidata.org/entity/Q1060475,chamamÃ©,,,,,
http://www.wikidata.org/entity/Q5069474,Chamarrita,,,,,
http://www.wikidata.org/entity/Q189201,chamber music,,,,,
http://www.wikidata.org/entity/Q22991878,chamber pop,Pop,,,,
http://www.wikidata.org/entity/Q1061165,Champeta,,,,,
http://www.wikidata.org/entity/Q5070237,Chamrieng Samai,,,,,
http://www.wikidata.org/entity/Q5071702,Changa,,,,,
http://www.wikidata.org/entity/Q1062328,Chanson,,,,,
http://www.wikidata.org/entity/Q1062400,chanson,,,,,
http://www.wikidata.org/entity/Q5072584,Chanson pour boire,,,,,
http://www.wikidata.org/entity/Q2956468,Chaoui music,,,,,
http://www.wikidata.org/entity/Q5072880,Chap hop,,,,,
http://www.wikidata.org/entity/Q5073926,Charanga-vallenata,,,,,
http://www.wikidata.org/entity/Q1071873,Chicago blues,Blues,,,,
http://www.wikidata.org/entity/Q3476584,Chicago hardcore,,,,,
http://www.wikidata.org/entity/Q1071961,Chicago house,,,,,
http://www.wikidata.org/entity/Q1269729,Chicago soul,,,,,
http://www.wikidata.org/entity/Q1399695,Chicano rap,,,,,
http://www.wikidata.org/entity/Q16241990,Chicano rock,,,,,
http://www.wikidata.org/entity/Q2389651,children's music,,,,,
http://www.wikidata.org/entity/Q493169,children's song,,,,,
http://www.wikidata.org/entity/Q3437823,Chilean rock,,,,,
http://www.wikidata.org/entity/Q961146,Chilena,,,,,
http://www.wikidata.org/entity/Q757143,Chill-out music,,,,,
http://www.wikidata.org/entity/Q2963621,chillstep,,,,,
http://www.wikidata.org/entity/Q2626684,chillwave,,,,,
http://www.wikidata.org/entity/Q5099460,Chimurenga music,,,,,
http://www.wikidata.org/entity/Q5100799,Chinese hip hop,,,,,
http://www.wikidata.org/entity/Q135637,chiptune,Electronic,,,,
http://www.wikidata.org/entity/Q1076513,choral music,,,,,
http://www.wikidata.org/entity/Q5104948,Chorale concerto,,,,,
http://www.wikidata.org/entity/Q1076539,choro,,,,,
http://www.wikidata.org/entity/Q5105648,Chrieng Brunh,,,,,
http://www.wikidata.org/entity/Q5110298,Christian alternative rock,,,,,
http://www.wikidata.org/entity/Q2225757,Christian hardcore,,,,,
http://www.wikidata.org/entity/Q2238236,Christian hip hop,,,,,
http://www.wikidata.org/entity/Q822914,Christian metal,,,,,
http://www.wikidata.org/entity/Q6452410,Christian music,,,,,
http://www.wikidata.org/entity/Q63885,Christian punk,,,,,
http://www.wikidata.org/entity/Q753520,Christian rock,Rock,,,,
http://www.wikidata.org/entity/Q503354,Christmas carol,,,,,
http://www.wikidata.org/entity/Q1443316,Christmas music,,,,,
http://www.wikidata.org/entity/Q5113733,Chromatic fantasia,,,,,
http://www.wikidata.org/entity/Q5116137,Chumak,,,,,
http://www.wikidata.org/entity/Q5116146,Chumba,,,,,
http://www.wikidata.org/entity/Q5118358,Chut-kai-pang,,,,,
http://www.wikidata.org/entity/Q1090048,Chutney music,,,,,
http://www.wikidata.org/entity/Q7847070,Cifra,,,,,
http://www.wikidata.org/entity/Q11307326,City pop,,,,,
http://www.wikidata.org/entity/Q1096120,classic rock,Rock,,,,
http://www.wikidata.org/entity/Q9730,classical music,,,,,
http://www.wikidata.org/entity/Q16829781,Cloud rap,,,,,
http://www.wikidata.org/entity/Q1938987,club house,,,,,
http://www.wikidata.org/entity/Q5141514,Coimbra Fado,,,,,
http://www.wikidata.org/entity/Q2982341,Coladeira,,,,,
http://www.wikidata.org/entity/Q2343562,coldwave,,,,,
http://www.wikidata.org/entity/Q783097,college rock,,,,,
http://www.wikidata.org/entity/Q5149108,Colossal Baroque,,,,,
http://www.wikidata.org/entity/Q5150913,Combined rhythm,,,,,
http://www.wikidata.org/entity/Q602646,comedy hip hop,,,,,
http://www.wikidata.org/entity/Q5151495,comedy music,,,,,
http://www.wikidata.org/entity/Q1391336,comedy rock,,,,,
http://www.wikidata.org/entity/Q5151790,Comic song,,,,,
http://www.wikidata.org/entity/Q2726026,Compas,,,,,
http://www.wikidata.org/entity/Q5158522,Concert march,,,,,
http://www.wikidata.org/entity/Q5158538,Concerted madrigal,,,,,
http://www.wikidata.org/entity/Q3453150,Congolese rumba,,,,,
http://www.wikidata.org/entity/Q141459,conscious hip hop,Hip Hop,,,,
http://www.wikidata.org/entity/Q1379958,contemporary Christian music,,,,,
http://www.wikidata.org/entity/Q612024,contemporary classical music,,,,,
http://www.wikidata.org/entity/Q43343,contemporary folk music,,,,,
http://www.wikidata.org/entity/Q5164990,Contemporary Jewish religious music,,,,,
http://www.wikidata.org/entity/Q850412,contemporary R&B,R&B,,,,
http://www.wikidata.org/entity/Q1339121,contemporary worship music,,,,,
http://www.wikidata.org/entity/Q327547,cool jazz,Jazz,,,,
http://www.wikidata.org/entity/Q869210,Corrido,,,,,
http://www.wikidata.org/entity/Q5177472,Country and Irish,,,,,
http://www.wikidata.org/entity/Q649823,country blues,Blues,,,,
http://www.wikidata.org/entity/Q1773654,Country folk,Folk,,,,
http://www.wikidata.org/entity/Q83440,country music,,,,,
http://www.wikidata.org/entity/Q2280497,country pop,Pop,,,,
http://www.wikidata.org/entity/Q2706919,Country rap,,,,,
http://www.wikidata.org/entity/Q613408,country rock,Rock,,,,
http://www.wikidata.org/entity/Q513357,CoupÃ©-DÃ©calÃ©,,,,,
http://www.wikidata.org/entity/Q2268922,Cowpunk,,,,,
http://www.wikidata.org/entity/Q5185778,Criolla,,,,,
http://www.wikidata.org/entity/Q504635,crossover,,,,,
http://www.wikidata.org/entity/Q846833,Crossover jazz,,,,,
http://www.wikidata.org/entity/Q932977,crossover thrash,,,,,
http://www.wikidata.org/entity/Q4179738,Cruel romance,,,,,
http://www.wikidata.org/entity/Q936573,crunk,,,,,
http://www.wikidata.org/entity/Q2426383,crunkcore,,,,,
http://www.wikidata.org/entity/Q825769,crust punk,Punk,,,,
http://www.wikidata.org/entity/Q155119,Cuarteto,,,,,
http://www.wikidata.org/entity/Q388475,Cuban rumba,,,,,
http://www.wikidata.org/entity/Q766240,cueca,,,,,
http://www.wikidata.org/entity/Q723418,Cumbia,Latin,,,,
http://www.wikidata.org/entity/Q3699386,Cumbia rap,,,,,
http://www.wikidata.org/entity/Q1143752,Cumbia villera,,,,,
http://www.wikidata.org/entity/Q3843655,cuplÃ©,,,,,
http://www.wikidata.org/entity/Q3008122,cyber metal,,,,,
http://www.wikidata.org/entity/Q3008180,Cybergrind,,,,,
http://www.wikidata.org/entity/Q28371127,cymrucana,,,,,
http://www.wikidata.org/entity/Q1151260,D-beat,Electronic,,,,
http://www.wikidata.org/entity/Q1046920,DÅjin music,,,,,
http://www.wikidata.org/entity/Q5208151,Daechwita,,,,,
http://www.wikidata.org/entity/Q316930,dance music,,,,,
http://www.wikidata.org/entity/Q211756,dance-pop,Electronic,,,,
http://www.wikidata.org/entity/Q1643549,dance-punk,Electronic,,,,
http://www.wikidata.org/entity/Q2281409,dance-rock,,,,,
http://www.wikidata.org/entity/Q474027,dancehall,Folk,,,,
http://www.wikidata.org/entity/Q1159539,dangdut,,,,,
http://www.wikidata.org/entity/Q1164847,dansband,,,,,
http://www.wikidata.org/entity/Q2109360,Danza,,,,,
http://www.wikidata.org/entity/Q756956,dark ambient,Electronic,,,,
http://www.wikidata.org/entity/Q1166158,dark cabaret,,,,,
http://www.wikidata.org/entity/Q4155078,dark electro,Electronic,,,,
http://www.wikidata.org/entity/Q1166197,dark metal,,,,,
http://www.wikidata.org/entity/Q1166218,dark rock,,,,,
http://www.wikidata.org/entity/Q3840596,dark wave,Electronic,,,,
http://www.wikidata.org/entity/Q11693017,darkcore,,,,,
http://www.wikidata.org/entity/Q1166321,darkstep,,,,,
http://www.wikidata.org/entity/Q5244903,De dragoste,,,,,
http://www.wikidata.org/entity/Q1181308,death 'n' roll,,,,,
http://www.wikidata.org/entity/Q3487358,death industrial,,,,,
http://www.wikidata.org/entity/Q483251,death metal,Heavy Metal,,,,
http://www.wikidata.org/entity/Q2089511,death-doom,,,,,
http://www.wikidata.org/entity/Q475221,deathcore,Heavy Metal,,,,
http://www.wikidata.org/entity/Q888612,deathgrind,Heavy Metal,,,,
http://www.wikidata.org/entity/Q1164252,Deathrock,Heavy Metal,,,,
http://www.wikidata.org/entity/Q1182371,deep funk,,,,,
http://www.wikidata.org/entity/Q874038,deep house,Electronic,,,,
http://www.wikidata.org/entity/Q1127539,Delta blues,Blues,,,,
http://www.wikidata.org/entity/Q11660484,Denpa song,,,,,
http://www.wikidata.org/entity/Q28949059,depressive black metal,,,,,
http://www.wikidata.org/entity/Q5264196,Desi Hip Hop,,,,,
http://www.wikidata.org/entity/Q526463,Detroit techno,,,,,
http://www.wikidata.org/entity/Q16029081,Deuda song,,,,,
http://www.wikidata.org/entity/Q16960459,Dhaanto,,,,,
http://www.wikidata.org/entity/Q17051846,Dhumpa sangita,,,,,
http://www.wikidata.org/entity/Q1217862,Die anderen Bands,,,,,
http://www.wikidata.org/entity/Q56580,digital hardcore,Electronic,,,,
http://www.wikidata.org/entity/Q5276393,Dihanaam,,,,,
http://www.wikidata.org/entity/Q15931253,Dimotiko,,,,,
http://www.wikidata.org/entity/Q1228230,Dirty House,,,,,
http://www.wikidata.org/entity/Q3709211,dirty rap,,,,,
http://www.wikidata.org/entity/Q58339,disco,Electronic,,,,
http://www.wikidata.org/entity/Q360596,disco house,,,,,
http://www.wikidata.org/entity/Q1185390,disco polo,,,,,
http://www.wikidata.org/entity/Q3032212,Diva house,,,,,
http://www.wikidata.org/entity/Q906647,Dixieland,,,,,
http://www.wikidata.org/entity/Q2532560,djent,,,,,
http://www.wikidata.org/entity/Q60463676,Dolewave,,,,,
http://www.wikidata.org/entity/Q546359,doo-wop,R&B,,,,
http://www.wikidata.org/entity/Q186170,doom metal,Heavy Metal,,,,
http://www.wikidata.org/entity/Q1242484,Doomcore,,,,,
http://www.wikidata.org/entity/Q28342195,Downer metal,,,,,
http://www.wikidata.org/entity/Q251192,downtempo,Electronic,,,,
http://www.wikidata.org/entity/Q5814219,Dream metal,,,,,
http://www.wikidata.org/entity/Q592330,dream pop,,,,,
http://www.wikidata.org/entity/Q1339027,dream trance,,,,,
http://www.wikidata.org/entity/Q1259016,Drill 'n' bass,,,,,
http://www.wikidata.org/entity/Q15697534,drill music,,,,,
http://www.wikidata.org/entity/Q1433387,drone metal,,,,,
http://www.wikidata.org/entity/Q650316,drone music,,,,,
